zone_id,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0
86,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0
87,826.0,55.0,33.0,45.0,28.0,27.0,9.0,10.0,6.0,5.0,18.0,26.0,48.0,44.0,45.0,44.0,35.0,30.0,39.0,42.0,37.0,40.0,60.0,46.0,54.0
88,519.0,26.0,21.0,19.0,15.0,7.0,4.0,4.0,7.0,9.0,18.0,23.0,39.0,50.0,49.0,47.0,25.0,29.0,23.0,11.0,23.0,12.0,20.0,20.0,18.0
89,72.0,8.0,7.0,6.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,3.0,7.0,3.0,0.0,2.0,3.0,0.0,4.0,5.0
90,2021.0,114.0,83.0,80.0,74.0,40.0,15.0,25.0,36.0,36.0,71.0,67.0,117.0,88.0,100.0,106.0,108.0,98.0,80.0,82.0,94.0,133.0,152.0,125.0,97.0
91,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0
92,45.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,3.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0
93,17.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
